stem,image_path,mask_coral_path,source,split
C10_Gr_PSa_T2_30nov24_CDaza_corr,data\final_dataset\train\images\C10_Gr_PSa_T2_30nov24_CDaza_corr.jpg,data\final_dataset\train\masks_coral\C10_Gr_PSa_T2_30nov24_CDaza_corr.png,coral_bleaching_reefsupport,train
C10_Gr_PSa_T3_30nov24_CDaza_corr,data\final_dataset\train\images\C10_Gr_PSa_T3_30nov24_CDaza_corr.jpg,data\final_dataset\train\masks_coral\C10_Gr_PSa_T3_30nov24_CDaza_corr.png,coral_bleaching_reefsupport,train
C10_PB_PM_T1_19nov24_CGomez_Corr,data\final_dataset\train\images\C10_PB_PM_T1_19nov24_CGomez_Corr.jpg,data\final_dataset\train\masks_coral\C10_PB_PM_T1_19nov24_CGomez_Corr.png,coral_bleaching_reefsupport,train
C10_PB_PM_T2_19nov24_CGomez_Corr,data\final_dataset\train\images\C10_PB_PM_T2_19nov24_CGomez_Corr.jpg,data\final_dataset\train\masks_coral\C10_PB_PM_T2_19nov24_CGomez_Corr.png,coral_bleaching_reefsupport,train
C10_PB_PP_T1_19nov24_CGomez_Corr,data\final_dataset\train\images\C10_PB_PP_T1_19nov24_CGomez_Corr.jpg,data\final_dataset\train\masks_coral\C10_PB_PP_T1_19nov24_CGomez_Corr.png,coral_bleaching_reefsupport,train
C10_PB_PP_T2_19nov24_CGomez_Corr,data\final_dataset\train\images\C10_PB_PP_T2_19nov24_CGomez_Corr.jpg,data\final_dataset\train\masks_coral\C10_PB_PP_T2_19nov24_CGomez_Corr.png,coral_bleaching_reefsupport,train
C10_PB_PP_T3_19nov24_CGomez_Corr,data\final_dataset\train\images\C10_PB_PP_T3_19nov24_CGomez_Corr.jpg,data\final_dataset\train\masks_coral\C10_PB_PP_T3_19nov24_CGomez_Corr.png,coral_bleaching_reefsupport,train
C10_PB_PSA_T1_19nov24_HBenavides_Corr,data\final_dataset\train\images\C10_PB_PSA_T1_19nov24_HBenavides_Corr.jpg,data\final_dataset\train\masks_coral\C10_PB_PSA_T1_19nov24_HBenavides_Corr.png,coral_bleaching_reefsupport,train
C10_PB_PSb_T1_19nov24_HBenavides_Corr,data\final_dataset\train\images\C10_PB_PSb_T1_19nov24_HBenavides_Corr.jpg,data\final_dataset\train\masks_coral\C10_PB_PSb_T1_19nov24_HBenavides_Corr.png,coral_bleaching_reefsupport,train
C10_PB_PSb_T2_19nov24_HBenavides_Corr,data\final_dataset\train\images\C10_PB_PSb_T2_19nov24_HBenavides_Corr.jpg,data\final_dataset\train\masks_coral\C10_PB_PSb_T2_19nov24_HBenavides_Corr.png,coral_bleaching_reefsupport,train
C10_PB_PSb_T3_19nov24_HBenavides_Corr,data\final_dataset\train\images\C10_PB_PSb_T3_19nov24_HBenavides_Corr.jpg,data\final_dataset\train\masks_coral\C10_PB_PSb_T3_19nov24_HBenavides_Corr.png,coral_bleaching_reefsupport,train
C11_BC_PM_T1_29nov24_CDaza_corr,data\final_dataset\train\images\C11_BC_PM_T1_29nov24_CDaza_corr.jpg,data\final_dataset\train\masks_coral\C11_BC_PM_T1_29nov24_CDaza_corr.png,coral_bleaching_reefsupport,train
C11_BC_PM_T2_29nov24_CDaza_corr,data\final_dataset\train\images\C11_BC_PM_T2_29nov24_CDaza_corr.jpg,data\final_dataset\train\masks_coral\C11_BC_PM_T2_29nov24_CDaza_corr.png,coral_bleaching_reefsupport,train
C11_BC_PM_T3_29nov24_CDaza_corr,data\final_dataset\train\images\C11_BC_PM_T3_29nov24_CDaza_corr.jpg,data\final_dataset\train\masks_coral\C11_BC_PM_T3_29nov24_CDaza_corr.png,coral_bleaching_reefsupport,train
C11_BC_PP_T1_29nov24_HBenavides_corr,data\final_dataset\train\images\C11_BC_PP_T1_29nov24_HBenavides_corr.jpg,data\final_dataset\train\masks_coral\C11_BC_PP_T1_29nov24_HBenavides_corr.png,coral_bleaching_reefsupport,train
C11_BC_PP_T2_29nov24_HBenavides_corr,data\final_dataset\train\images\C11_BC_PP_T2_29nov24_HBenavides_corr.jpg,data\final_dataset\train\masks_coral\C11_BC_PP_T2_29nov24_HBenavides_corr.png,coral_bleaching_reefsupport,train
C11_BC_PP_T3_29nov24_HBenavides_corr,data\final_dataset\train\images\C11_BC_PP_T3_29nov24_HBenavides_corr.jpg,data\final_dataset\train\masks_coral\C11_BC_PP_T3_29nov24_HBenavides_corr.png,coral_bleaching_reefsupport,train
C11_Gr_PM_T1_30nov24_CGomez_corr,data\final_dataset\train\images\C11_Gr_PM_T1_30nov24_CGomez_corr.jpg,data\final_dataset\train\masks_coral\C11_Gr_PM_T1_30nov24_CGomez_corr.png,coral_bleaching_reefsupport,train
C11_Gr_PM_T2_30nov24_CGomez_corr,data\final_dataset\train\images\C11_Gr_PM_T2_30nov24_CGomez_corr.jpg,data\final_dataset\train\masks_coral\C11_Gr_PM_T2_30nov24_CGomez_corr.png,coral_bleaching_reefsupport,train
C11_Gr_PM_T3_30nov24_CGomez_corr,data\final_dataset\train\images\C11_Gr_PM_T3_30nov24_CGomez_corr.jpg,data\final_dataset\train\masks_coral\C11_Gr_PM_T3_30nov24_CGomez_corr.png,coral_bleaching_reefsupport,train
C11_Gr_PP_T1_30nov24_HBenavides_corr,data\final_dataset\train\images\C11_Gr_PP_T1_30nov24_HBenavides_corr.jpg,data\final_dataset\train\masks_coral\C11_Gr_PP_T1_30nov24_HBenavides_corr.png,coral_bleaching_reefsupport,train
C11_Gr_PP_T2_30nov24_HBenavides_corr,data\final_dataset\train\images\C11_Gr_PP_T2_30nov24_HBenavides_corr.jpg,data\final_dataset\train\masks_coral\C11_Gr_PP_T2_30nov24_HBenavides_corr.png,coral_bleaching_reefsupport,train
C11_Gr_PP_T3_30nov24_HBenavides_corr,data\final_dataset\train\images\C11_Gr_PP_T3_30nov24_HBenavides_corr.jpg,data\final_dataset\train\masks_coral\C11_Gr_PP_T3_30nov24_HBenavides_corr.png,coral_bleaching_reefsupport,train
C11_Gr_PSa_T1_30nov24_CDaza_corr,data\final_dataset\train\images\C11_Gr_PSa_T1_30nov24_CDaza_corr.jpg,data\final_dataset\train\masks_coral\C11_Gr_PSa_T1_30nov24_CDaza_corr.png,coral_bleaching_reefsupport,train
C11_Gr_PSa_T2_30nov24_CDaza_corr,data\final_dataset\train\images\C11_Gr_PSa_T2_30nov24_CDaza_corr.jpg,data\final_dataset\train\masks_coral\C11_Gr_PSa_T2_30nov24_CDaza_corr.png,coral_bleaching_reefsupport,train
C11_Gr_PSa_T3_30nov24_CDaza_corr,data\final_dataset\train\images\C11_Gr_PSa_T3_30nov24_CDaza_corr.jpg,data\final_dataset\train\masks_coral\C11_Gr_PSa_T3_30nov24_CDaza_corr.png,coral_bleaching_reefsupport,train
C11_PB_PM_T1_19nov24_CGomez_Corr,data\final_dataset\train\images\C11_PB_PM_T1_19nov24_CGomez_Corr.jpg,data\final_dataset\train\masks_coral\C11_PB_PM_T1_19nov24_CGomez_Corr.png,coral_bleaching_reefsupport,train
C11_PB_PP_T1_19nov24_CGomez_Corr,data\final_dataset\train\images\C11_PB_PP_T1_19nov24_CGomez_Corr.jpg,data\final_dataset\train\masks_coral\C11_PB_PP_T1_19nov24_CGomez_Corr.png,coral_bleaching_reefsupport,train
C11_PB_PP_T2_19nov24_CGomez_Corr,data\final_dataset\train\images\C11_PB_PP_T2_19nov24_CGomez_Corr.jpg,data\final_dataset\train\masks_coral\C11_PB_PP_T2_19nov24_CGomez_Corr.png,coral_bleaching_reefsupport,train
C11_PB_PP_T3_19nov24_CGomez_Corr,data\final_dataset\train\images\C11_PB_PP_T3_19nov24_CGomez_Corr.jpg,data\final_dataset\train\masks_coral\C11_PB_PP_T3_19nov24_CGomez_Corr.png,coral_bleaching_reefsupport,train
C11_PB_PSA_T1_19nov24_HBenavides_Corr,data\final_dataset\train\images\C11_PB_PSA_T1_19nov24_HBenavides_Corr.jpg,data\final_dataset\train\masks_coral\C11_PB_PSA_T1_19nov24_HBenavides_Corr.png,coral_bleaching_reefsupport,train
C11_PB_PSb_T1_19nov24_HBenavides_Corr,data\final_dataset\train\images\C11_PB_PSb_T1_19nov24_HBenavides_Corr.jpg,data\final_dataset\train\masks_coral\C11_PB_PSb_T1_19nov24_HBenavides_Corr.png,coral_bleaching_reefsupport,train
C11_PB_PSb_T2_19nov24_HBenavides_Corr,data\final_dataset\train\images\C11_PB_PSb_T2_19nov24_HBenavides_Corr.jpg,data\final_dataset\train\masks_coral\C11_PB_PSb_T2_19nov24_HBenavides_Corr.png,coral_bleaching_reefsupport,train
C11_PB_PSb_T3_19nov24_HBenavides_Corr,data\final_dataset\train\images\C11_PB_PSb_T3_19nov24_HBenavides_Corr.jpg,data\final_dataset\train\masks_coral\C11_PB_PSb_T3_19nov24_HBenavides_Corr.png,coral_bleaching_reefsupport,train
C12_BC_PM_T1_29nov24_CDaza_corr,data\final_dataset\train\images\C12_BC_PM_T1_29nov24_CDaza_corr.jpg,data\final_dataset\train\masks_coral\C12_BC_PM_T1_29nov24_CDaza_corr.png,coral_bleaching_reefsupport,train
C12_BC_PM_T2_29nov24_CDaza_corr,data\final_dataset\train\images\C12_BC_PM_T2_29nov24_CDaza_corr.jpg,data\final_dataset\train\masks_coral\C12_BC_PM_T2_29nov24_CDaza_corr.png,coral_bleaching_reefsupport,train
C12_BC_PM_T3_29nov24_CDaza_corr,data\final_dataset\train\images\C12_BC_PM_T3_29nov24_CDaza_corr.jpg,data\final_dataset\train\masks_coral\C12_BC_PM_T3_29nov24_CDaza_corr.png,coral_bleaching_reefsupport,train
C12_BC_PP_T3_29nov24_HBenavides_corr,data\final_dataset\train\images\C12_BC_PP_T3_29nov24_HBenavides_corr.jpg,data\final_dataset\train\masks_coral\C12_BC_PP_T3_29nov24_HBenavides_corr.png,coral_bleaching_reefsupport,train
C12_Gr_PM_T1_30nov24_CGomez_corr,data\final_dataset\train\images\C12_Gr_PM_T1_30nov24_CGomez_corr.jpg,data\final_dataset\train\masks_coral\C12_Gr_PM_T1_30nov24_CGomez_corr.png,coral_bleaching_reefsupport,train
C12_Gr_PM_T2_30nov24_CGomez_corr,data\final_dataset\train\images\C12_Gr_PM_T2_30nov24_CGomez_corr.jpg,data\final_dataset\train\masks_coral\C12_Gr_PM_T2_30nov24_CGomez_corr.png,coral_bleaching_reefsupport,train
C12_Gr_PM_T3_30nov24_CGomez_corr,data\final_dataset\train\images\C12_Gr_PM_T3_30nov24_CGomez_corr.jpg,data\final_dataset\train\masks_coral\C12_Gr_PM_T3_30nov24_CGomez_corr.png,coral_bleaching_reefsupport,train
C12_Gr_PP_T3_30nov24_HBenavides_corr,data\final_dataset\train\images\C12_Gr_PP_T3_30nov24_HBenavides_corr.jpg,data\final_dataset\train\masks_coral\C12_Gr_PP_T3_30nov24_HBenavides_corr.png,coral_bleaching_reefsupport,train
C12_Gr_PSa_T1_30nov24_CDaza_corr,data\final_dataset\train\images\C12_Gr_PSa_T1_30nov24_CDaza_corr.jpg,data\final_dataset\train\masks_coral\C12_Gr_PSa_T1_30nov24_CDaza_corr.png,coral_bleaching_reefsupport,train
C12_Gr_PSa_T2_30nov24_CDaza_corr,data\final_dataset\train\images\C12_Gr_PSa_T2_30nov24_CDaza_corr.jpg,data\final_dataset\train\masks_coral\C12_Gr_PSa_T2_30nov24_CDaza_corr.png,coral_bleaching_reefsupport,train
C12_Gr_PSa_T3_30nov24_CDaza_corr,data\final_dataset\train\images\C12_Gr_PSa_T3_30nov24_CDaza_corr.jpg,data\final_dataset\train\masks_coral\C12_Gr_PSa_T3_30nov24_CDaza_corr.png,coral_bleaching_reefsupport,train
C12_PB_PM_T1_19nov24_CGomez_Corr,data\final_dataset\train\images\C12_PB_PM_T1_19nov24_CGomez_Corr.jpg,data\final_dataset\train\masks_coral\C12_PB_PM_T1_19nov24_CGomez_Corr.png,coral_bleaching_reefsupport,train
C12_PB_PP_T1_19nov24_CGomez_Corr,data\final_dataset\train\images\C12_PB_PP_T1_19nov24_CGomez_Corr.jpg,data\final_dataset\train\masks_coral\C12_PB_PP_T1_19nov24_CGomez_Corr.png,coral_bleaching_reefsupport,train
C12_PB_PP_T2_19nov24_CGomez_Corr,data\final_dataset\train\images\C12_PB_PP_T2_19nov24_CGomez_Corr.jpg,data\final_dataset\train\masks_coral\C12_PB_PP_T2_19nov24_CGomez_Corr.png,coral_bleaching_reefsupport,train
C12_PB_PSA_T3_19nov24_HBenavides_Corr,data\final_dataset\train\images\C12_PB_PSA_T3_19nov24_HBenavides_Corr.jpg,data\final_dataset\train\masks_coral\C12_PB_PSA_T3_19nov24_HBenavides_Corr.png,coral_bleaching_reefsupport,train
C12_PB_PSb_T1_19nov24_HBenavides_Corr,data\final_dataset\train\images\C12_PB_PSb_T1_19nov24_HBenavides_Corr.jpg,data\final_dataset\train\masks_coral\C12_PB_PSb_T1_19nov24_HBenavides_Corr.png,coral_bleaching_reefsupport,train
C12_PB_PSb_T2_19nov24_HBenavides_Corr,data\final_dataset\train\images\C12_PB_PSb_T2_19nov24_HBenavides_Corr.jpg,data\final_dataset\train\masks_coral\C12_PB_PSb_T2_19nov24_HBenavides_Corr.png,coral_bleaching_reefsupport,train
C13_BC_PM_T1_29nov24_CDaza_corr,data\final_dataset\train\images\C13_BC_PM_T1_29nov24_CDaza_corr.jpg,data\final_dataset\train\masks_coral\C13_BC_PM_T1_29nov24_CDaza_corr.png,coral_bleaching_reefsupport,train
C13_BC_PM_T2_29nov24_CDaza_corr,data\final_dataset\train\images\C13_BC_PM_T2_29nov24_CDaza_corr.jpg,data\final_dataset\train\masks_coral\C13_BC_PM_T2_29nov24_CDaza_corr.png,coral_bleaching_reefsupport,train
C13_BC_PM_T3_29nov24_CDaza_corr,data\final_dataset\train\images\C13_BC_PM_T3_29nov24_CDaza_corr.jpg,data\final_dataset\train\masks_coral\C13_BC_PM_T3_29nov24_CDaza_corr.png,coral_bleaching_reefsupport,train
C13_BC_PP_T3_29nov24_HBenavides_corr,data\final_dataset\train\images\C13_BC_PP_T3_29nov24_HBenavides_corr.jpg,data\final_dataset\train\masks_coral\C13_BC_PP_T3_29nov24_HBenavides_corr.png,coral_bleaching_reefsupport,train
C13_Gr_PM_T1_30nov24_CGomez_corr,data\final_dataset\train\images\C13_Gr_PM_T1_30nov24_CGomez_corr.jpg,data\final_dataset\train\masks_coral\C13_Gr_PM_T1_30nov24_CGomez_corr.png,coral_bleaching_reefsupport,train
C13_Gr_PM_T3_30nov24_CGomez_corr,data\final_dataset\train\images\C13_Gr_PM_T3_30nov24_CGomez_corr.jpg,data\final_dataset\train\masks_coral\C13_Gr_PM_T3_30nov24_CGomez_corr.png,coral_bleaching_reefsupport,train
C13_Gr_PP_T3_30nov24_HBenavides_corr,data\final_dataset\train\images\C13_Gr_PP_T3_30nov24_HBenavides_corr.jpg,data\final_dataset\train\masks_coral\C13_Gr_PP_T3_30nov24_HBenavides_corr.png,coral_bleaching_reefsupport,train
C13_Gr_PSa_T1_30nov24_CDaza_corr,data\final_dataset\train\images\C13_Gr_PSa_T1_30nov24_CDaza_corr.jpg,data\final_dataset\train\masks_coral\C13_Gr_PSa_T1_30nov24_CDaza_corr.png,coral_bleaching_reefsupport,train
C13_Gr_PSa_T3_30nov24_CDaza_corr,data\final_dataset\train\images\C13_Gr_PSa_T3_30nov24_CDaza_corr.jpg,data\final_dataset\train\masks_coral\C13_Gr_PSa_T3_30nov24_CDaza_corr.png,coral_bleaching_reefsupport,train
C13_PB_PM_T1_19nov24_CGomez_Corr,data\final_dataset\train\images\C13_PB_PM_T1_19nov24_CGomez_Corr.jpg,data\final_dataset\train\masks_coral\C13_PB_PM_T1_19nov24_CGomez_Corr.png,coral_bleaching_reefsupport,train
C13_PB_PP_T2_19nov24_CGomez_Corr,data\final_dataset\train\images\C13_PB_PP_T2_19nov24_CGomez_Corr.jpg,data\final_dataset\train\masks_coral\C13_PB_PP_T2_19nov24_CGomez_Corr.png,coral_bleaching_reefsupport,train
C13_PB_PSb_T2_19nov24_HBenavides_Corr,data\final_dataset\train\images\C13_PB_PSb_T2_19nov24_HBenavides_Corr.jpg,data\final_dataset\train\masks_coral\C13_PB_PSb_T2_19nov24_HBenavides_Corr.png,coral_bleaching_reefsupport,train
C14_BC_PM_T1_29nov24_CDaza_corr,data\final_dataset\train\images\C14_BC_PM_T1_29nov24_CDaza_corr.jpg,data\final_dataset\train\masks_coral\C14_BC_PM_T1_29nov24_CDaza_corr.png,coral_bleaching_reefsupport,train
C14_BC_PM_T2_29nov24_CDaza_corr,data\final_dataset\train\images\C14_BC_PM_T2_29nov24_CDaza_corr.jpg,data\final_dataset\train\masks_coral\C14_BC_PM_T2_29nov24_CDaza_corr.png,coral_bleaching_reefsupport,train
C14_BC_PM_T3_29nov24_CDaza_corr,data\final_dataset\train\images\C14_BC_PM_T3_29nov24_CDaza_corr.jpg,data\final_dataset\train\masks_coral\C14_BC_PM_T3_29nov24_CDaza_corr.png,coral_bleaching_reefsupport,train
C14_Gr_PM_T3_30nov24_CGomez_corr,data\final_dataset\train\images\C14_Gr_PM_T3_30nov24_CGomez_corr.jpg,data\final_dataset\train\masks_coral\C14_Gr_PM_T3_30nov24_CGomez_corr.png,coral_bleaching_reefsupport,train
C14_Gr_PP_T3_30nov24_HBenavides_corr,data\final_dataset\train\images\C14_Gr_PP_T3_30nov24_HBenavides_corr.jpg,data\final_dataset\train\masks_coral\C14_Gr_PP_T3_30nov24_HBenavides_corr.png,coral_bleaching_reefsupport,train
C14_Gr_PSa_T1_30nov24_CDaza_corr,data\final_dataset\train\images\C14_Gr_PSa_T1_30nov24_CDaza_corr.jpg,data\final_dataset\train\masks_coral\C14_Gr_PSa_T1_30nov24_CDaza_corr.png,coral_bleaching_reefsupport,train
C14_Gr_PSa_T3_30nov24_CDaza_corr,data\final_dataset\train\images\C14_Gr_PSa_T3_30nov24_CDaza_corr.jpg,data\final_dataset\train\masks_coral\C14_Gr_PSa_T3_30nov24_CDaza_corr.png,coral_bleaching_reefsupport,train
C14_PB_PM_T1_19nov24_CGomez_Corr,data\final_dataset\train\images\C14_PB_PM_T1_19nov24_CGomez_Corr.jpg,data\final_dataset\train\masks_coral\C14_PB_PM_T1_19nov24_CGomez_Corr.png,coral_bleaching_reefsupport,train
C14_PB_PM_T3_19nov24_CGomez_Corr,data\final_dataset\train\images\C14_PB_PM_T3_19nov24_CGomez_Corr.jpg,data\final_dataset\train\masks_coral\C14_PB_PM_T3_19nov24_CGomez_Corr.png,coral_bleaching_reefsupport,train
C15_BC_PM_T1_29nov24_CDaza_corr,data\final_dataset\train\images\C15_BC_PM_T1_29nov24_CDaza_corr.jpg,data\final_dataset\train\masks_coral\C15_BC_PM_T1_29nov24_CDaza_corr.png,coral_bleaching_reefsupport,train
C15_BC_PM_T2_29nov24_CDaza_corr,data\final_dataset\train\images\C15_BC_PM_T2_29nov24_CDaza_corr.jpg,data\final_dataset\train\masks_coral\C15_BC_PM_T2_29nov24_CDaza_corr.png,coral_bleaching_reefsupport,train
C15_BC_PM_T3_29nov24_CDaza_corr,data\final_dataset\train\images\C15_BC_PM_T3_29nov24_CDaza_corr.jpg,data\final_dataset\train\masks_coral\C15_BC_PM_T3_29nov24_CDaza_corr.png,coral_bleaching_reefsupport,train
C15_Gr_PSa_T3_30nov24_CDaza_corr,data\final_dataset\train\images\C15_Gr_PSa_T3_30nov24_CDaza_corr.jpg,data\final_dataset\train\masks_coral\C15_Gr_PSa_T3_30nov24_CDaza_corr.png,coral_bleaching_reefsupport,train
C16_BC_PM_T1_29nov24_CDaza_corr,data\final_dataset\train\images\C16_BC_PM_T1_29nov24_CDaza_corr.jpg,data\final_dataset\train\masks_coral\C16_BC_PM_T1_29nov24_CDaza_corr.png,coral_bleaching_reefsupport,train
C16_Gr_PSa_T3_30nov24_CDaza_corr,data\final_dataset\train\images\C16_Gr_PSa_T3_30nov24_CDaza_corr.jpg,data\final_dataset\train\masks_coral\C16_Gr_PSa_T3_30nov24_CDaza_corr.png,coral_bleaching_reefsupport,train
C17_Gr_PSa_T3_30nov24_CDaza_corr,data\final_dataset\train\images\C17_Gr_PSa_T3_30nov24_CDaza_corr.jpg,data\final_dataset\train\masks_coral\C17_Gr_PSa_T3_30nov24_CDaza_corr.png,coral_bleaching_reefsupport,train
C18_Gr_PSa_T3_30nov24_CDaza_corr,data\final_dataset\train\images\C18_Gr_PSa_T3_30nov24_CDaza_corr.jpg,data\final_dataset\train\masks_coral\C18_Gr_PSa_T3_30nov24_CDaza_corr.png,coral_bleaching_reefsupport,train
C19_Gr_PSa_T3_30nov24_CDaza_corr,data\final_dataset\train\images\C19_Gr_PSa_T3_30nov24_CDaza_corr.jpg,data\final_dataset\train\masks_coral\C19_Gr_PSa_T3_30nov24_CDaza_corr.png,coral_bleaching_reefsupport,train
C1_BC_EM_T1_29nov24_CGomez_corr,data\final_dataset\train\images\C1_BC_EM_T1_29nov24_CGomez_corr.jpg,data\final_dataset\train\masks_coral\C1_BC_EM_T1_29nov24_CGomez_corr.png,coral_bleaching_reefsupport,train
C1_BC_EM_T2_29nov24_CGomez_corr,data\final_dataset\train\images\C1_BC_EM_T2_29nov24_CGomez_corr.jpg,data\final_dataset\train\masks_coral\C1_BC_EM_T2_29nov24_CGomez_corr.png,coral_bleaching_reefsupport,train
C1_BC_EM_T3_29nov24_CGomez_corr,data\final_dataset\train\images\C1_BC_EM_T3_29nov24_CGomez_corr.jpg,data\final_dataset\train\masks_coral\C1_BC_EM_T3_29nov24_CGomez_corr.png,coral_bleaching_reefsupport,train
C1_BC_EP_T1_29nov24_CDaza_corr,data\final_dataset\train\images\C1_BC_EP_T1_29nov24_CDaza_corr.jpg,data\final_dataset\train\masks_coral\C1_BC_EP_T1_29nov24_CDaza_corr.png,coral_bleaching_reefsupport,train
C1_BC_EP_T2_29nov24_CDaza_corr,data\final_dataset\train\images\C1_BC_EP_T2_29nov24_CDaza_corr.jpg,data\final_dataset\train\masks_coral\C1_BC_EP_T2_29nov24_CDaza_corr.png,coral_bleaching_reefsupport,train
C1_BC_EP_T3_29nov24_CDaza_corr,data\final_dataset\train\images\C1_BC_EP_T3_29nov24_CDaza_corr.jpg,data\final_dataset\train\masks_coral\C1_BC_EP_T3_29nov24_CDaza_corr.png,coral_bleaching_reefsupport,train
C1_BC_ESa_T1_29nov24_CDaza_corr,data\final_dataset\train\images\C1_BC_ESa_T1_29nov24_CDaza_corr.jpg,data\final_dataset\train\masks_coral\C1_BC_ESa_T1_29nov24_CDaza_corr.png,coral_bleaching_reefsupport,train
C1_BC_ESa_T2_29nov24_CDaza_corr,data\final_dataset\train\images\C1_BC_ESa_T2_29nov24_CDaza_corr.jpg,data\final_dataset\train\masks_coral\C1_BC_ESa_T2_29nov24_CDaza_corr.png,coral_bleaching_reefsupport,train
C1_BC_ESa_T3_29nov24_CDaza_corr,data\final_dataset\train\images\C1_BC_ESa_T3_29nov24_CDaza_corr.jpg,data\final_dataset\train\masks_coral\C1_BC_ESa_T3_29nov24_CDaza_corr.png,coral_bleaching_reefsupport,train
C1_BC_ESb_T1_29nov24_CGomez_corr,data\final_dataset\train\images\C1_BC_ESb_T1_29nov24_CGomez_corr.jpg,data\final_dataset\train\masks_coral\C1_BC_ESb_T1_29nov24_CGomez_corr.png,coral_bleaching_reefsupport,train
C1_BC_ESb_T2_29nov24_CGomez_corr,data\final_dataset\train\images\C1_BC_ESb_T2_29nov24_CGomez_corr.jpg,data\final_dataset\train\masks_coral\C1_BC_ESb_T2_29nov24_CGomez_corr.png,coral_bleaching_reefsupport,train
C1_BC_ESb_T3_29nov24_CGomez_corr,data\final_dataset\train\images\C1_BC_ESb_T3_29nov24_CGomez_corr.jpg,data\final_dataset\train\masks_coral\C1_BC_ESb_T3_29nov24_CGomez_corr.png,coral_bleaching_reefsupport,train
