,stem,image_path,mask_coral_path,coral_coverage,source,split
10,C10_Gr_PM_T3_30nov24_CGomez_corr,data\coral_bleaching\images\C10_Gr_PM_T3_30nov24_CGomez_corr.jpg,data\coral_bleaching\masks_coral\C10_Gr_PM_T3_30nov24_CGomez_corr.png,0.561,coral_bleaching_reefsupport,train
11,C10_Gr_PP_T1_30nov24_HBenavides_corr,data\coral_bleaching\images\C10_Gr_PP_T1_30nov24_HBenavides_corr.jpg,data\coral_bleaching\masks_coral\C10_Gr_PP_T1_30nov24_HBenavides_corr.png,0.47,coral_bleaching_reefsupport,train
12,C10_Gr_PP_T2_30nov24_HBenavides_corr,data\coral_bleaching\images\C10_Gr_PP_T2_30nov24_HBenavides_corr.jpg,data\coral_bleaching\masks_coral\C10_Gr_PP_T2_30nov24_HBenavides_corr.png,0.694,coral_bleaching_reefsupport,train
13,C10_Gr_PP_T3_30nov24_HBenavides_corr,data\coral_bleaching\images\C10_Gr_PP_T3_30nov24_HBenavides_corr.jpg,data\coral_bleaching\masks_coral\C10_Gr_PP_T3_30nov24_HBenavides_corr.png,0.592,coral_bleaching_reefsupport,train
14,C10_Gr_PSa_T1_30nov24_CDaza_corr,data\coral_bleaching\images\C10_Gr_PSa_T1_30nov24_CDaza_corr.jpg,data\coral_bleaching\masks_coral\C10_Gr_PSa_T1_30nov24_CDaza_corr.png,0.168,coral_bleaching_reefsupport,train
15,C10_Gr_PSa_T2_30nov24_CDaza_corr,data\coral_bleaching\images\C10_Gr_PSa_T2_30nov24_CDaza_corr.jpg,data\coral_bleaching\masks_coral\C10_Gr_PSa_T2_30nov24_CDaza_corr.png,0.054,coral_bleaching_reefsupport,train
16,C10_Gr_PSa_T3_30nov24_CDaza_corr,data\coral_bleaching\images\C10_Gr_PSa_T3_30nov24_CDaza_corr.jpg,data\coral_bleaching\masks_coral\C10_Gr_PSa_T3_30nov24_CDaza_corr.png,0.132,coral_bleaching_reefsupport,train
17,C10_PB_PM_T1_19nov24_CGomez_Corr,data\coral_bleaching\images\C10_PB_PM_T1_19nov24_CGomez_Corr.JPG,data\coral_bleaching\masks_coral\C10_PB_PM_T1_19nov24_CGomez_Corr.png,0.046,coral_bleaching_reefsupport,train
18,C10_PB_PM_T2_19nov24_CGomez_Corr,data\coral_bleaching\images\C10_PB_PM_T2_19nov24_CGomez_Corr.JPG,data\coral_bleaching\masks_coral\C10_PB_PM_T2_19nov24_CGomez_Corr.png,0.314,coral_bleaching_reefsupport,train
19,C10_PB_PP_T1_19nov24_CGomez_Corr,data\coral_bleaching\images\C10_PB_PP_T1_19nov24_CGomez_Corr.JPG,data\coral_bleaching\masks_coral\C10_PB_PP_T1_19nov24_CGomez_Corr.png,0.056,coral_bleaching_reefsupport,train
20,C10_PB_PP_T2_19nov24_CGomez_Corr,data\coral_bleaching\images\C10_PB_PP_T2_19nov24_CGomez_Corr.JPG,data\coral_bleaching\masks_coral\C10_PB_PP_T2_19nov24_CGomez_Corr.png,0.254,coral_bleaching_reefsupport,train
21,C10_PB_PP_T3_19nov24_CGomez_Corr,data\coral_bleaching\images\C10_PB_PP_T3_19nov24_CGomez_Corr.JPG,data\coral_bleaching\masks_coral\C10_PB_PP_T3_19nov24_CGomez_Corr.png,0.292,coral_bleaching_reefsupport,train
22,C10_PB_PSA_T1_19nov24_HBenavides_Corr,data\coral_bleaching\images\C10_PB_PSA_T1_19nov24_HBenavides_Corr.JPG,data\coral_bleaching\masks_coral\C10_PB_PSA_T1_19nov24_HBenavides_Corr.png,0.064,coral_bleaching_reefsupport,train
23,C10_PB_PSb_T1_19nov24_HBenavides_Corr,data\coral_bleaching\images\C10_PB_PSb_T1_19nov24_HBenavides_Corr.JPG,data\coral_bleaching\masks_coral\C10_PB_PSb_T1_19nov24_HBenavides_Corr.png,0.155,coral_bleaching_reefsupport,train
24,C10_PB_PSb_T2_19nov24_HBenavides_Corr,data\coral_bleaching\images\C10_PB_PSb_T2_19nov24_HBenavides_Corr.JPG,data\coral_bleaching\masks_coral\C10_PB_PSb_T2_19nov24_HBenavides_Corr.png,0.205,coral_bleaching_reefsupport,train
25,C10_PB_PSb_T3_19nov24_HBenavides_Corr,data\coral_bleaching\images\C10_PB_PSb_T3_19nov24_HBenavides_Corr.JPG,data\coral_bleaching\masks_coral\C10_PB_PSb_T3_19nov24_HBenavides_Corr.png,0.352,coral_bleaching_reefsupport,train
26,C11_BC_PM_T1_29nov24_CDaza_corr,data\coral_bleaching\images\C11_BC_PM_T1_29nov24_CDaza_corr.jpg,data\coral_bleaching\masks_coral\C11_BC_PM_T1_29nov24_CDaza_corr.png,0.718,coral_bleaching_reefsupport,train
27,C11_BC_PM_T2_29nov24_CDaza_corr,data\coral_bleaching\images\C11_BC_PM_T2_29nov24_CDaza_corr.jpg,data\coral_bleaching\masks_coral\C11_BC_PM_T2_29nov24_CDaza_corr.png,0.623,coral_bleaching_reefsupport,train
28,C11_BC_PM_T3_29nov24_CDaza_corr,data\coral_bleaching\images\C11_BC_PM_T3_29nov24_CDaza_corr.jpg,data\coral_bleaching\masks_coral\C11_BC_PM_T3_29nov24_CDaza_corr.png,0.261,coral_bleaching_reefsupport,train
29,C11_BC_PP_T1_29nov24_HBenavides_corr,data\coral_bleaching\images\C11_BC_PP_T1_29nov24_HBenavides_corr.jpg,data\coral_bleaching\masks_coral\C11_BC_PP_T1_29nov24_HBenavides_corr.png,0.318,coral_bleaching_reefsupport,train
30,C11_BC_PP_T2_29nov24_HBenavides_corr,data\coral_bleaching\images\C11_BC_PP_T2_29nov24_HBenavides_corr.jpg,data\coral_bleaching\masks_coral\C11_BC_PP_T2_29nov24_HBenavides_corr.png,0.207,coral_bleaching_reefsupport,train
31,C11_BC_PP_T3_29nov24_HBenavides_corr,data\coral_bleaching\images\C11_BC_PP_T3_29nov24_HBenavides_corr.jpg,data\coral_bleaching\masks_coral\C11_BC_PP_T3_29nov24_HBenavides_corr.png,0.539,coral_bleaching_reefsupport,train
32,C11_Gr_PM_T1_30nov24_CGomez_corr,data\coral_bleaching\images\C11_Gr_PM_T1_30nov24_CGomez_corr.jpg,data\coral_bleaching\masks_coral\C11_Gr_PM_T1_30nov24_CGomez_corr.png,0.55,coral_bleaching_reefsupport,train
33,C11_Gr_PM_T2_30nov24_CGomez_corr,data\coral_bleaching\images\C11_Gr_PM_T2_30nov24_CGomez_corr.jpg,data\coral_bleaching\masks_coral\C11_Gr_PM_T2_30nov24_CGomez_corr.png,0.562,coral_bleaching_reefsupport,train
34,C11_Gr_PM_T3_30nov24_CGomez_corr,data\coral_bleaching\images\C11_Gr_PM_T3_30nov24_CGomez_corr.jpg,data\coral_bleaching\masks_coral\C11_Gr_PM_T3_30nov24_CGomez_corr.png,0.481,coral_bleaching_reefsupport,train
35,C11_Gr_PP_T1_30nov24_HBenavides_corr,data\coral_bleaching\images\C11_Gr_PP_T1_30nov24_HBenavides_corr.jpg,data\coral_bleaching\masks_coral\C11_Gr_PP_T1_30nov24_HBenavides_corr.png,0.222,coral_bleaching_reefsupport,train
36,C11_Gr_PP_T2_30nov24_HBenavides_corr,data\coral_bleaching\images\C11_Gr_PP_T2_30nov24_HBenavides_corr.jpg,data\coral_bleaching\masks_coral\C11_Gr_PP_T2_30nov24_HBenavides_corr.png,0.246,coral_bleaching_reefsupport,train
37,C11_Gr_PP_T3_30nov24_HBenavides_corr,data\coral_bleaching\images\C11_Gr_PP_T3_30nov24_HBenavides_corr.jpg,data\coral_bleaching\masks_coral\C11_Gr_PP_T3_30nov24_HBenavides_corr.png,0.349,coral_bleaching_reefsupport,train
38,C11_Gr_PSa_T1_30nov24_CDaza_corr,data\coral_bleaching\images\C11_Gr_PSa_T1_30nov24_CDaza_corr.jpg,data\coral_bleaching\masks_coral\C11_Gr_PSa_T1_30nov24_CDaza_corr.png,0.096,coral_bleaching_reefsupport,train
39,C11_Gr_PSa_T2_30nov24_CDaza_corr,data\coral_bleaching\images\C11_Gr_PSa_T2_30nov24_CDaza_corr.jpg,data\coral_bleaching\masks_coral\C11_Gr_PSa_T2_30nov24_CDaza_corr.png,0.195,coral_bleaching_reefsupport,train
40,C11_Gr_PSa_T3_30nov24_CDaza_corr,data\coral_bleaching\images\C11_Gr_PSa_T3_30nov24_CDaza_corr.jpg,data\coral_bleaching\masks_coral\C11_Gr_PSa_T3_30nov24_CDaza_corr.png,0.134,coral_bleaching_reefsupport,train
41,C11_PB_PM_T1_19nov24_CGomez_Corr,data\coral_bleaching\images\C11_PB_PM_T1_19nov24_CGomez_Corr.JPG,data\coral_bleaching\masks_coral\C11_PB_PM_T1_19nov24_CGomez_Corr.png,0.263,coral_bleaching_reefsupport,train
42,C11_PB_PP_T1_19nov24_CGomez_Corr,data\coral_bleaching\images\C11_PB_PP_T1_19nov24_CGomez_Corr.JPG,data\coral_bleaching\masks_coral\C11_PB_PP_T1_19nov24_CGomez_Corr.png,0.042,coral_bleaching_reefsupport,train
43,C11_PB_PP_T2_19nov24_CGomez_Corr,data\coral_bleaching\images\C11_PB_PP_T2_19nov24_CGomez_Corr.JPG,data\coral_bleaching\masks_coral\C11_PB_PP_T2_19nov24_CGomez_Corr.png,0.08,coral_bleaching_reefsupport,train
44,C11_PB_PP_T3_19nov24_CGomez_Corr,data\coral_bleaching\images\C11_PB_PP_T3_19nov24_CGomez_Corr.JPG,data\coral_bleaching\masks_coral\C11_PB_PP_T3_19nov24_CGomez_Corr.png,0.089,coral_bleaching_reefsupport,train
45,C11_PB_PSA_T1_19nov24_HBenavides_Corr,data\coral_bleaching\images\C11_PB_PSA_T1_19nov24_HBenavides_Corr.JPG,data\coral_bleaching\masks_coral\C11_PB_PSA_T1_19nov24_HBenavides_Corr.png,0.439,coral_bleaching_reefsupport,train
46,C11_PB_PSb_T1_19nov24_HBenavides_Corr,data\coral_bleaching\images\C11_PB_PSb_T1_19nov24_HBenavides_Corr.JPG,data\coral_bleaching\masks_coral\C11_PB_PSb_T1_19nov24_HBenavides_Corr.png,0.025,coral_bleaching_reefsupport,train
47,C11_PB_PSb_T2_19nov24_HBenavides_Corr,data\coral_bleaching\images\C11_PB_PSb_T2_19nov24_HBenavides_Corr.JPG,data\coral_bleaching\masks_coral\C11_PB_PSb_T2_19nov24_HBenavides_Corr.png,0.196,coral_bleaching_reefsupport,train
48,C11_PB_PSb_T3_19nov24_HBenavides_Corr,data\coral_bleaching\images\C11_PB_PSb_T3_19nov24_HBenavides_Corr.JPG,data\coral_bleaching\masks_coral\C11_PB_PSb_T3_19nov24_HBenavides_Corr.png,0.172,coral_bleaching_reefsupport,train
49,C12_BC_PM_T1_29nov24_CDaza_corr,data\coral_bleaching\images\C12_BC_PM_T1_29nov24_CDaza_corr.jpg,data\coral_bleaching\masks_coral\C12_BC_PM_T1_29nov24_CDaza_corr.png,0.737,coral_bleaching_reefsupport,train
50,C12_BC_PM_T2_29nov24_CDaza_corr,data\coral_bleaching\images\C12_BC_PM_T2_29nov24_CDaza_corr.jpg,data\coral_bleaching\masks_coral\C12_BC_PM_T2_29nov24_CDaza_corr.png,0.413,coral_bleaching_reefsupport,train
51,C12_BC_PM_T3_29nov24_CDaza_corr,data\coral_bleaching\images\C12_BC_PM_T3_29nov24_CDaza_corr.jpg,data\coral_bleaching\masks_coral\C12_BC_PM_T3_29nov24_CDaza_corr.png,0.415,coral_bleaching_reefsupport,train
52,C12_BC_PP_T3_29nov24_HBenavides_corr,data\coral_bleaching\images\C12_BC_PP_T3_29nov24_HBenavides_corr.jpg,data\coral_bleaching\masks_coral\C12_BC_PP_T3_29nov24_HBenavides_corr.png,0.351,coral_bleaching_reefsupport,train
53,C12_Gr_PM_T1_30nov24_CGomez_corr,data\coral_bleaching\images\C12_Gr_PM_T1_30nov24_CGomez_corr.jpg,data\coral_bleaching\masks_coral\C12_Gr_PM_T1_30nov24_CGomez_corr.png,0.49,coral_bleaching_reefsupport,train
54,C12_Gr_PM_T2_30nov24_CGomez_corr,data\coral_bleaching\images\C12_Gr_PM_T2_30nov24_CGomez_corr.jpg,data\coral_bleaching\masks_coral\C12_Gr_PM_T2_30nov24_CGomez_corr.png,0.131,coral_bleaching_reefsupport,train
55,C12_Gr_PM_T3_30nov24_CGomez_corr,data\coral_bleaching\images\C12_Gr_PM_T3_30nov24_CGomez_corr.jpg,data\coral_bleaching\masks_coral\C12_Gr_PM_T3_30nov24_CGomez_corr.png,0.618,coral_bleaching_reefsupport,train
56,C12_Gr_PP_T3_30nov24_HBenavides_corr,data\coral_bleaching\images\C12_Gr_PP_T3_30nov24_HBenavides_corr.jpg,data\coral_bleaching\masks_coral\C12_Gr_PP_T3_30nov24_HBenavides_corr.png,0.372,coral_bleaching_reefsupport,train
57,C12_Gr_PSa_T1_30nov24_CDaza_corr,data\coral_bleaching\images\C12_Gr_PSa_T1_30nov24_CDaza_corr.jpg,data\coral_bleaching\masks_coral\C12_Gr_PSa_T1_30nov24_CDaza_corr.png,0.11,coral_bleaching_reefsupport,train
58,C12_Gr_PSa_T2_30nov24_CDaza_corr,data\coral_bleaching\images\C12_Gr_PSa_T2_30nov24_CDaza_corr.jpg,data\coral_bleaching\masks_coral\C12_Gr_PSa_T2_30nov24_CDaza_corr.png,0.219,coral_bleaching_reefsupport,train
59,C12_Gr_PSa_T3_30nov24_CDaza_corr,data\coral_bleaching\images\C12_Gr_PSa_T3_30nov24_CDaza_corr.jpg,data\coral_bleaching\masks_coral\C12_Gr_PSa_T3_30nov24_CDaza_corr.png,0.219,coral_bleaching_reefsupport,train
60,C12_PB_PM_T1_19nov24_CGomez_Corr,data\coral_bleaching\images\C12_PB_PM_T1_19nov24_CGomez_Corr.JPG,data\coral_bleaching\masks_coral\C12_PB_PM_T1_19nov24_CGomez_Corr.png,0.35,coral_bleaching_reefsupport,train
61,C12_PB_PP_T1_19nov24_CGomez_Corr,data\coral_bleaching\images\C12_PB_PP_T1_19nov24_CGomez_Corr.JPG,data\coral_bleaching\masks_coral\C12_PB_PP_T1_19nov24_CGomez_Corr.png,0.04,coral_bleaching_reefsupport,train
62,C12_PB_PP_T2_19nov24_CGomez_Corr,data\coral_bleaching\images\C12_PB_PP_T2_19nov24_CGomez_Corr.JPG,data\coral_bleaching\masks_coral\C12_PB_PP_T2_19nov24_CGomez_Corr.png,0.438,coral_bleaching_reefsupport,train
63,C12_PB_PSA_T3_19nov24_HBenavides_Corr,data\coral_bleaching\images\C12_PB_PSA_T3_19nov24_HBenavides_Corr.JPG,data\coral_bleaching\masks_coral\C12_PB_PSA_T3_19nov24_HBenavides_Corr.png,0.013,coral_bleaching_reefsupport,train
64,C12_PB_PSb_T1_19nov24_HBenavides_Corr,data\coral_bleaching\images\C12_PB_PSb_T1_19nov24_HBenavides_Corr.JPG,data\coral_bleaching\masks_coral\C12_PB_PSb_T1_19nov24_HBenavides_Corr.png,0.048,coral_bleaching_reefsupport,train
65,C12_PB_PSb_T2_19nov24_HBenavides_Corr,data\coral_bleaching\images\C12_PB_PSb_T2_19nov24_HBenavides_Corr.JPG,data\coral_bleaching\masks_coral\C12_PB_PSb_T2_19nov24_HBenavides_Corr.png,0.22,coral_bleaching_reefsupport,train
66,C13_BC_PM_T1_29nov24_CDaza_corr,data\coral_bleaching\images\C13_BC_PM_T1_29nov24_CDaza_corr.jpg,data\coral_bleaching\masks_coral\C13_BC_PM_T1_29nov24_CDaza_corr.png,0.493,coral_bleaching_reefsupport,train
67,C13_BC_PM_T2_29nov24_CDaza_corr,data\coral_bleaching\images\C13_BC_PM_T2_29nov24_CDaza_corr.jpg,data\coral_bleaching\masks_coral\C13_BC_PM_T2_29nov24_CDaza_corr.png,0.592,coral_bleaching_reefsupport,train
68,C13_BC_PM_T3_29nov24_CDaza_corr,data\coral_bleaching\images\C13_BC_PM_T3_29nov24_CDaza_corr.jpg,data\coral_bleaching\masks_coral\C13_BC_PM_T3_29nov24_CDaza_corr.png,0.705,coral_bleaching_reefsupport,train
69,C13_BC_PP_T3_29nov24_HBenavides_corr,data\coral_bleaching\images\C13_BC_PP_T3_29nov24_HBenavides_corr.jpg,data\coral_bleaching\masks_coral\C13_BC_PP_T3_29nov24_HBenavides_corr.png,0.152,coral_bleaching_reefsupport,train
70,C13_Gr_PM_T1_30nov24_CGomez_corr,data\coral_bleaching\images\C13_Gr_PM_T1_30nov24_CGomez_corr.jpg,data\coral_bleaching\masks_coral\C13_Gr_PM_T1_30nov24_CGomez_corr.png,0.494,coral_bleaching_reefsupport,train
71,C13_Gr_PM_T3_30nov24_CGomez_corr,data\coral_bleaching\images\C13_Gr_PM_T3_30nov24_CGomez_corr.jpg,data\coral_bleaching\masks_coral\C13_Gr_PM_T3_30nov24_CGomez_corr.png,0.517,coral_bleaching_reefsupport,train
72,C13_Gr_PP_T3_30nov24_HBenavides_corr,data\coral_bleaching\images\C13_Gr_PP_T3_30nov24_HBenavides_corr.jpg,data\coral_bleaching\masks_coral\C13_Gr_PP_T3_30nov24_HBenavides_corr.png,0.512,coral_bleaching_reefsupport,train
73,C13_Gr_PSa_T1_30nov24_CDaza_corr,data\coral_bleaching\images\C13_Gr_PSa_T1_30nov24_CDaza_corr.jpg,data\coral_bleaching\masks_coral\C13_Gr_PSa_T1_30nov24_CDaza_corr.png,0.09,coral_bleaching_reefsupport,train
74,C13_Gr_PSa_T3_30nov24_CDaza_corr,data\coral_bleaching\images\C13_Gr_PSa_T3_30nov24_CDaza_corr.jpg,data\coral_bleaching\masks_coral\C13_Gr_PSa_T3_30nov24_CDaza_corr.png,0.378,coral_bleaching_reefsupport,train
75,C13_PB_PM_T1_19nov24_CGomez_Corr,data\coral_bleaching\images\C13_PB_PM_T1_19nov24_CGomez_Corr.JPG,data\coral_bleaching\masks_coral\C13_PB_PM_T1_19nov24_CGomez_Corr.png,0.601,coral_bleaching_reefsupport,train
76,C13_PB_PP_T2_19nov24_CGomez_Corr,data\coral_bleaching\images\C13_PB_PP_T2_19nov24_CGomez_Corr.JPG,data\coral_bleaching\masks_coral\C13_PB_PP_T2_19nov24_CGomez_Corr.png,0.419,coral_bleaching_reefsupport,train
77,C13_PB_PSb_T2_19nov24_HBenavides_Corr,data\coral_bleaching\images\C13_PB_PSb_T2_19nov24_HBenavides_Corr.JPG,data\coral_bleaching\masks_coral\C13_PB_PSb_T2_19nov24_HBenavides_Corr.png,0.047,coral_bleaching_reefsupport,train
78,C14_BC_PM_T1_29nov24_CDaza_corr,data\coral_bleaching\images\C14_BC_PM_T1_29nov24_CDaza_corr.jpg,data\coral_bleaching\masks_coral\C14_BC_PM_T1_29nov24_CDaza_corr.png,0.437,coral_bleaching_reefsupport,train
79,C14_BC_PM_T2_29nov24_CDaza_corr,data\coral_bleaching\images\C14_BC_PM_T2_29nov24_CDaza_corr.jpg,data\coral_bleaching\masks_coral\C14_BC_PM_T2_29nov24_CDaza_corr.png,0.362,coral_bleaching_reefsupport,train
80,C14_BC_PM_T3_29nov24_CDaza_corr,data\coral_bleaching\images\C14_BC_PM_T3_29nov24_CDaza_corr.jpg,data\coral_bleaching\masks_coral\C14_BC_PM_T3_29nov24_CDaza_corr.png,0.576,coral_bleaching_reefsupport,train
81,C14_Gr_PM_T3_30nov24_CGomez_corr,data\coral_bleaching\images\C14_Gr_PM_T3_30nov24_CGomez_corr.jpg,data\coral_bleaching\masks_coral\C14_Gr_PM_T3_30nov24_CGomez_corr.png,0.699,coral_bleaching_reefsupport,train
82,C14_Gr_PP_T3_30nov24_HBenavides_corr,data\coral_bleaching\images\C14_Gr_PP_T3_30nov24_HBenavides_corr.jpg,data\coral_bleaching\masks_coral\C14_Gr_PP_T3_30nov24_HBenavides_corr.png,0.11,coral_bleaching_reefsupport,train
83,C14_Gr_PSa_T1_30nov24_CDaza_corr,data\coral_bleaching\images\C14_Gr_PSa_T1_30nov24_CDaza_corr.jpg,data\coral_bleaching\masks_coral\C14_Gr_PSa_T1_30nov24_CDaza_corr.png,0.211,coral_bleaching_reefsupport,train
84,C14_Gr_PSa_T3_30nov24_CDaza_corr,data\coral_bleaching\images\C14_Gr_PSa_T3_30nov24_CDaza_corr.jpg,data\coral_bleaching\masks_coral\C14_Gr_PSa_T3_30nov24_CDaza_corr.png,0.086,coral_bleaching_reefsupport,train
85,C14_PB_PM_T1_19nov24_CGomez_Corr,data\coral_bleaching\images\C14_PB_PM_T1_19nov24_CGomez_Corr.JPG,data\coral_bleaching\masks_coral\C14_PB_PM_T1_19nov24_CGomez_Corr.png,0.481,coral_bleaching_reefsupport,train
86,C14_PB_PM_T3_19nov24_CGomez_Corr,data\coral_bleaching\images\C14_PB_PM_T3_19nov24_CGomez_Corr.JPG,data\coral_bleaching\masks_coral\C14_PB_PM_T3_19nov24_CGomez_Corr.png,0.124,coral_bleaching_reefsupport,train
87,C15_BC_PM_T1_29nov24_CDaza_corr,data\coral_bleaching\images\C15_BC_PM_T1_29nov24_CDaza_corr.jpg,data\coral_bleaching\masks_coral\C15_BC_PM_T1_29nov24_CDaza_corr.png,0.266,coral_bleaching_reefsupport,train
88,C15_BC_PM_T2_29nov24_CDaza_corr,data\coral_bleaching\images\C15_BC_PM_T2_29nov24_CDaza_corr.jpg,data\coral_bleaching\masks_coral\C15_BC_PM_T2_29nov24_CDaza_corr.png,0.389,coral_bleaching_reefsupport,train
89,C15_BC_PM_T3_29nov24_CDaza_corr,data\coral_bleaching\images\C15_BC_PM_T3_29nov24_CDaza_corr.jpg,data\coral_bleaching\masks_coral\C15_BC_PM_T3_29nov24_CDaza_corr.png,0.813,coral_bleaching_reefsupport,train
90,C15_Gr_PSa_T3_30nov24_CDaza_corr,data\coral_bleaching\images\C15_Gr_PSa_T3_30nov24_CDaza_corr.jpg,data\coral_bleaching\masks_coral\C15_Gr_PSa_T3_30nov24_CDaza_corr.png,0.273,coral_bleaching_reefsupport,train
91,C16_BC_PM_T1_29nov24_CDaza_corr,data\coral_bleaching\images\C16_BC_PM_T1_29nov24_CDaza_corr.jpg,data\coral_bleaching\masks_coral\C16_BC_PM_T1_29nov24_CDaza_corr.png,0.443,coral_bleaching_reefsupport,train
92,C16_Gr_PSa_T3_30nov24_CDaza_corr,data\coral_bleaching\images\C16_Gr_PSa_T3_30nov24_CDaza_corr.jpg,data\coral_bleaching\masks_coral\C16_Gr_PSa_T3_30nov24_CDaza_corr.png,0.144,coral_bleaching_reefsupport,train
93,C17_Gr_PSa_T3_30nov24_CDaza_corr,data\coral_bleaching\images\C17_Gr_PSa_T3_30nov24_CDaza_corr.jpg,data\coral_bleaching\masks_coral\C17_Gr_PSa_T3_30nov24_CDaza_corr.png,0.146,coral_bleaching_reefsupport,train
94,C18_Gr_PSa_T3_30nov24_CDaza_corr,data\coral_bleaching\images\C18_Gr_PSa_T3_30nov24_CDaza_corr.jpg,data\coral_bleaching\masks_coral\C18_Gr_PSa_T3_30nov24_CDaza_corr.png,0.128,coral_bleaching_reefsupport,train
95,C19_Gr_PSa_T3_30nov24_CDaza_corr,data\coral_bleaching\images\C19_Gr_PSa_T3_30nov24_CDaza_corr.jpg,data\coral_bleaching\masks_coral\C19_Gr_PSa_T3_30nov24_CDaza_corr.png,0.08,coral_bleaching_reefsupport,train
96,C1_BC_EM_T1_29nov24_CGomez_corr,data\coral_bleaching\images\C1_BC_EM_T1_29nov24_CGomez_corr.jpg,data\coral_bleaching\masks_coral\C1_BC_EM_T1_29nov24_CGomez_corr.png,0.095,coral_bleaching_reefsupport,train
97,C1_BC_EM_T2_29nov24_CGomez_corr,data\coral_bleaching\images\C1_BC_EM_T2_29nov24_CGomez_corr.jpg,data\coral_bleaching\masks_coral\C1_BC_EM_T2_29nov24_CGomez_corr.png,0.699,coral_bleaching_reefsupport,train
98,C1_BC_EM_T3_29nov24_CGomez_corr,data\coral_bleaching\images\C1_BC_EM_T3_29nov24_CGomez_corr.jpg,data\coral_bleaching\masks_coral\C1_BC_EM_T3_29nov24_CGomez_corr.png,0.051,coral_bleaching_reefsupport,train
99,C1_BC_EP_T1_29nov24_CDaza_corr,data\coral_bleaching\images\C1_BC_EP_T1_29nov24_CDaza_corr.jpg,data\coral_bleaching\masks_coral\C1_BC_EP_T1_29nov24_CDaza_corr.png,0.354,coral_bleaching_reefsupport,train
100,C1_BC_EP_T2_29nov24_CDaza_corr,data\coral_bleaching\images\C1_BC_EP_T2_29nov24_CDaza_corr.jpg,data\coral_bleaching\masks_coral\C1_BC_EP_T2_29nov24_CDaza_corr.png,0.461,coral_bleaching_reefsupport,train
101,C1_BC_EP_T3_29nov24_CDaza_corr,data\coral_bleaching\images\C1_BC_EP_T3_29nov24_CDaza_corr.jpg,data\coral_bleaching\masks_coral\C1_BC_EP_T3_29nov24_CDaza_corr.png,0.587,coral_bleaching_reefsupport,train
102,C1_BC_ESa_T1_29nov24_CDaza_corr,data\coral_bleaching\images\C1_BC_ESa_T1_29nov24_CDaza_corr.jpg,data\coral_bleaching\masks_coral\C1_BC_ESa_T1_29nov24_CDaza_corr.png,0.208,coral_bleaching_reefsupport,train
